freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GOV,RSE,F,HC,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1963 d	1774 d	1470 d	1472 d	1544 d	1560 d	1344 d	1480 d	1794 d	1708 d	2008 	1842 d	2189 d	2323 d	2284 b	2371 	2367 	2304 	2198 	2391 	2505 	2565 	2377 	2403 	2688 	2698 	2606 	2640 	2745 b	3379 	3192 	3186 	3082 	2925 	: 
A,GOV,RSE,F,HC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	185 	204 	182 	162 	194 	209 	228 	206 	202 	214 	202 	195 	209 	235 	: 	299 	: 	342 	: 	495 	547 	534 	: 
A,GOV,RSE,F,HC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	306 	: 	206 	: 	430 	: 	446 	502 	467 	488 	576 	: 	214 b	: 	61 b	: 	: 	: 	115 	115 	: 	: 	162 	187 u	178 	: 
A,GOV,RSE,F,HC,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6727 	6841 	7448 	6231 	6190 	6721 	7204 	7500 	10207 	9442 	9008 	9080 	10035 	10925 	11905 	12843 	13276 	13838 	13883 	14271 	14688 	15136 	15568 	16552 	17500 	18757 	: 
A,GOV,RSE,F,HC,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4068 d	4138 d	4233 d	4492 d	4600 d	4791 d	4928 d	4946 d	5269 d	5552 d	5409 d	5533 d	5564 d	5741 d	6062 d	6216 d	6394 d	6545 d	6807 d	6998 d	7252 d	7335 d	7422 d	: 
A,GOV,RSE,F,HC,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1243 d	1000 d	1048 d	1320 d	1315 d	1356 d	1402 d	1459 d	1476 d	1975 d	2923 b	2770 	3788 	4435 	5236 	5730 	6328 	6885 	7223 	7553 	7752 	8073 	8730 	8088 	8720 	9071 	9710 	: 
A,GOV,RSE,F,HC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1199 	1114 	919 	874 	894 	997 	934 	908 	891 	955 	891 	880 	870 	871 	928 	963 	1357 	1513 	1476 	1384 	1460 	1505 	1449 	1504 	: 
A,GOV,RSE,F,HC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81 	97 	111 	104 	: 	132 	167 	199 	: 	230 	254 	286 	295 	308 	299 	270 	: 	255 	: 	286 	: 	295 	: 	323 	: 
A,GOV,RSE,F,HC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	778 	741 	619 	520 	492 	419 	430 	408 	366 	331 	427 	569 	620 	529 	447 	453 	556 	557 	521 	513 	549 	526 	497 	520 	470 	564 	594 	587 	477 	: 
A,GOV,RSE,F,HC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	281 	: 	309 	301 	315 d	: 	299 	303 	323 	: 	: 	: 	: 	: 
A,GOV,RSE,F,HC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	374 	390 	384 	395 	317 	342 	174 	273 	: 	: 	208 	256 	230 	225 	217 	239 	: 	188 	: 	: 
A,GOV,RSE,F,HC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	2 	12 	15 	21 	11 	23 	22 	16 	16 	10 	8 	9 	9 	10 	7 	11 	5 	14 	11 	17 	23 	: 
A,GOV,RSE,F,HC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1448 	: 	2138 bd	2490 d	2299 d	2363 d	2425 d	2280 d	2353 d	2376 d	2719 d	4695 bd	3175 bd	2924 d	3039 d	3235 d	2898 d	3310 d	3576 d	3801 d	4213 d	3747 bd	4000 d	: 
A,GOV,RSE,F,HC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1287 u	: 	1300 u	: 	1414 u	: 	1540 u	: 	1699 u	: 	2188 u	2264 u	2511 u	2581 	2729 	2783 	2880 	2853 	2960 	2964 	3024 	3101 	3117 	3234 	3272 	3312 	3358 	: 
A,GOV,RSE,F,HC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5307 	: 	: 	6150 	5906 	5691 	6002 	6228 	5892 	6367 	6877 	6457 	6501 	6597 	6718 	6469 	2312 	3090 	2739 	2547 	3014 	3163 	2912 	2907 	: 
A,GOV,RSE,F,HC,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1763 	2345 	2927 	2924 e	2921 	2915 e	2909 	3039 e	3168 	2950 e	2731 	2679 	2674 	3106 	3702 	2910 	2431 b	2645 	2723 	2810 	3214 	3360 	3532 	3626 	3995 	4078 	4417 	: 
A,GOV,RSE,F,HC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3145 	3413 	2958 	2638 	2802 	2997 	3083 	3237 	4077 	2923 	3063 	3332 	2975 	2912 	2833 b	3145 	3332 	3313 	3472 	3461 	3352 	3360 	3522 	3576 	3400 	3505 	3604 	: 
A,GOV,RSE,F,HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1480 	1507 	1465 	1636 	1713 	1808 	1699 	1851 	1727 	1819 	1906 	2008 	2113 	2132 	2141 	2345 	2403 
A,GOV,RSE,F,HC,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67848 	69311 	66136 	63427 	59710 	59733 	58711 	59891 e	59971 e	60533 e	60621 e	63154 e	62967 e	62916 e	59608 e	60122 e	59138 e	58029 e	60566 e	58483 e	58910 e	59294 	: 	56141 	56159 	49992 	: 	: 	: 	: 	: 
A,GOV,RSE,F,HC,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1237 u	: 	1758 be	: 	1149 be	: 	862 e	: 	3199 be	: 	3287 be	: 	5574 e	: 	7017 	: 	5680 e	: 	6491 b	: 	5829 	: 
A,GOV,RSE,F,HC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	643 b	710 	714 	696 	770 	824 	849 	862 	832 	839 	507 	539 	795 	858 	945 	1090 	1124 	1118 	1031 b	1042 	1048 	1041 	964 	970 	1004 	1069 	1123 	1154 	1194 	1384 	1495 	: 
A,GOV,RSE,F,HC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1201 d	1286 d	1154 d	1215 d	1262 d	1460 d	1486 d	1461 d	1578 d	1598 d	1725 d	1569 d	1937 d	1958 	2160 	2167 	2327 	2400 	2525 	2587 	2534 	2579 	: 
A,GOV,RSE,F,HC,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1003 	861 	884 	976 	989 	1047 	1284 	1355 	1481 	1606 	1656 	1688 	1939 	2063 	2166 	2222 	2147 	2206 	2188 	2416 	2451 	2497 	2185 	2325 	2518 	2533 	2311 	: 
A,GOV,RSE,F,HC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3387 	: 	3146 b	3128 	3227 	3289 	3456 	3149 	3451 	3444 	3471 	3339 	2874 	3118 	3218 	3171 	3172 	3145 	3220 	3225 	: 	: 	: 	: 	: 	: 
A,GOV,RSE,T,FTE,AT	: 	543 	: 	: 	: 	518 e	: 	: 	: 	520 e	: 	: 	: 	904 be	: 	: 	: 	: 	954 	: 	: 	: 	998.7 	: 	1029.8 	1231.6 e	1348.5 	1389 	1513.2 e	1559.3 	1568 e	1511.1 	1554.6 e	1566.8 	1654.3 e	1682.1 	3624.4 e	3665.1 	3867 e	3817 	3848.2 e	3817.3 	4027 e	4199.3 	4284 p
A,GOV,RSE,T,FTE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	62.1 	86.7 	63.2 	: 	: 	: 	: 	34.6 	49.4 	111 	: 	: 	: 
A,GOV,RSE,T,FTE,BE	: 	632 e	645 u	662 e	680 u	686 e	693 u	691 u	688 u	843 b	: 	785 e	: 	1182.3 b	1202.5 u	1208.9 u	1440.6 u	1554.9 u	1598.4 e	1738 	1808.9 	1941.2 	1979.9 	2026.5 	2214.6 	2273.6 	2423.9 	2526.2 	2660.7 	2819.9 	2650.2 	2781 	3591.4 b	3657.1 	4061.9 	4041.4 	4290 	4485.7 	5283.1 	5490.1 	6176.3 	6404.3 	6897 	7197.3 	7667 p
A,GOV,RSE,T,FTE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11757 	7243 	7198 	8007 	7425 	7501 	7060 	6417 	6082 	6067 	6113 	6168 	6076 	6148 	6178 	6038 	5805 	5757 	5776 	5339 	5305 	5038 	4749 	4695 	4626 	4530 	4718 	4792 	4726 	4827 	4823 	4840 p
A,GOV,RSE,T,FTE,CH	: 	779 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	630 	: 	550 	: 	555 d	: 	441 	: 	405 bd	: 	460 d	: 	425 d	: 	435 d	: 	487.7 d	: 	405.9 d	: 	430 	: 	465.8 d	472 	: 	455 	: 	645 	: 	661 	716 	749 	: 
A,GOV,RSE,T,FTE,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	200700 d	208000 d	194000 d	194700 d	184900 d	179800 d	193100 d	162200 d	166800 d	193353 d	186589 d	189151 d	191957 d	190499 d	200377 d	210149.4 d	230662 d	238970 d	219483 b	231699.3 	250250 	269581 	288675.2 	295899.2 	305686.2 	336106.2 	356805.2 	370116.2 	390179.2 	399462.4 	414096.4 	450365.4 	484550.4 	: 
A,GOV,RSE,T,FTE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	105 	116 	: 	: 	: 	: 	: 	81 	82 	81 	95.3 	103.7 	108.5 	103.7 	107.1 	111.1 	104.8 	107 	99.9 	101.8 	96.9 	92.1 	86.3 	83.4 	85.2 	79.5 	86.7 	87 	96.9 	99.4 	91.4 	92.3 	104.5 	110 p
A,GOV,RSE,T,FTE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4315 	4574 	4597 	4596 	4281 	4424 	4837 	4429 	4833 	4827.1 	6564.1 b	6992 	7153.3 	7288.8 	6498.3 	6577.4 	6611.1 	6453.4 	6725.1 	6978.9 	7392.9 	7499.7 	7907.7 	7879 	7968.2 	8169.1 	8326.5 	8245.3 	8095.6 	8061.5 p
A,GOV,RSE,T,FTE,DE	: 	18919 	: 	19800 	: 	20425 	: 	21857 	: 	24320 	: 	38614 b	: 	34011 b	35707 	37324 	37687 	37402 	38210 	37846 	37667 	38587 	39080 	38719 	42212 	39911 	41486 	43561 	45341.8 	49240.9 	51783.5 	54185.2 	55597 	56754.9 	52854.1 b	54011.3 d	53970.7 d	54715.1 d	57183 d	59221.4 d	60988 d	63701 d	52207 b	53508 bd	54700 p
A,GOV,RSE,T,FTE,DK	: 	1755 u	1868 u	1943 u	2017 u	2092 u	2163 u	2234 u	2340 u	2445 u	2509 u	2573 u	2791 u	3010 u	: 	3575 u	3590 e	3673 u	: 	3918 u	3622 	3511 u	2268.4 b	2337.4 	2286.7 	2104.6 	2172.7 	1202.7 b	1159.4 	1115 	1216.1 	1181 	1208 	1253.7 	1384 	1426 	1392 	1635 	1587 	1577 p	1586 p	1646 p	1743 	1890.7 	1915 p
A,GOV,RSE,T,FTE,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53175.7 e	93920.7 e	50604.7 e	99597.7 e	105749.9 e	110154.6 e	118481.9 e	114051.2 e	115844.3 e	116498.9 e	118099.5 e	115718.1 e	116742.8 e	120396.7 e	126216.3 e	128900.4 e	132777.8 e	138499.9 e	141935.1 e	149941.4 e	151541 e	153971.2 e	158494.1 e	157785.7 e	153625.9 e	156011.5 e	158291.2 e	160797.1 e	166855.6 e	171218.1 e	175241.3 e	181986.2 e	173986.7 e	181620.6 e	185154.8 e
A,GOV,RSE,T,FTE,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	53175.7 e	93920.7 e	50604.7 e	99597.7 e	105749.9 e	110154.6 e	118481.9 e	114051.2 e	115844.3 e	116498.9 e	120148.9 e	117698.9 e	118764.8 e	122554.7 e	128636.3 e	130799.2 e	134689.4 e	140362.6 e	143823.4 e	151971.1 e	153637.7 e	156018.9 e	160459 e	159730.6 e	155483.4 e	157767.1 e	160014 e	162595.2 e	168730 e	173091.9 e	177332.9 e	184086.8 e	176102.5 e	183815.5 e	187304.4 e
A,GOV,RSE,T,FTE,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1971 	1942 	1829 	1483 	1339 	699 	632 	620 	559 	473 	463 	478 	486 	474 	513 	545 	531 	513 	548 	536 	546 	553 	533.4 	514 	505 	549 	489.1 	523.5 	541.7 	537 	599 	547 	536 
A,GOV,RSE,T,FTE,EL	: 	: 	: 	1501 b	: 	: 	: 	2084 	: 	2101 	: 	1918 	: 	1905 	: 	2012.1 	: 	1985.3 	: 	2000.5 	: 	1980.2 	: 	2136.2 	: 	2076.3 	2258.6 e	2201 e	: 	: 	: 	4370 b	4510 	5778 	5844 	7255.5 	6262.8 	7184.2 	7767.8 	8150.8 	8384.6 	8823.8 	9265.7 	9855.1 	9649.4 p
A,GOV,RSE,T,FTE,ES	: 	3632 	3351 	2871 	2917 	2839 	4060 	4528 	5706 	5864 	7623 	8079 	7660 	7737 	7820 e	8359 	9126 	10490 	11021 	11934 	12707.7 	13345.2 	12624.9 	15489 	17151.2 	20445.6 	20062.7 	21411.9 	22577.9 	24164.8 	24377.2 	22892.6 	21849.8 	20672.7 	20180.2 	19961.8 	20663.3 	20844.3 	21421.9 	22146.6 	22526.8 	23418 	23742 	25338 	26366 p
A,GOV,RSE,T,FTE,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	74521.6 e	123016.4 e	81215.7 e	133269.5 e	142733 e	151184.6 e	159499.3 e	154169.2 e	156586.4 e	155245.1 e	157931.2 e	155281.9 e	159050.2 e	162142.1 e	168086.1 e	172688.4 e	176291.9 e	180040.4 e	183885.3 e	190737.7 e	193249.7 e	196624.8 e	200090 e	200350.1 e	196220.5 e	199613.8 e	191051.6 e	195337.2 e	202725.1 e	206784.9 e	212666.8 e	219732.4 e	211519.3 e	219196.8 e	222501.4 e
A,GOV,RSE,T,FTE,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4200 	4374 	4469.9 	4481.8 	4540.5 	4504.6 	4550.7 	4630.4 	4432.1 	4481.6 	4088.9 	3550.3 	3209 	3317.6 	3236.2 	3260 	3337.8 	3425 d	3515 d	3710 d	3875 d
A,GOV,RSE,T,FTE,FR	: 	15700 	18358 	19127 	20135 	21215 	21723 	22200 	23229 	24249 	24922 	25949 	25499 b	25720 	26403 	27195 	27803 	24249 bd	24216 d	25187 d	26132 bd	22945 d	24140 d	24540.8 d	24778.5 d	25888.7 d	25641.1 d	26527 d	27372.2 d	28701.9 d	26611.3 b	26807.7 	27413 	28227 	28275.8 	28445 	28890.1 	28820.8 	29206.7 	29276.1 	29501 	30391 	30980 	31868 	32934.2 p
A,GOV,RSE,T,FTE,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2022 	2158 	2420 	1898.8 	1911.6 	1862.7 	1888.3 	2029.7 	2096.7 	2047.7 	1964.9 d	1944.9 d	1857.4 d	1755.6 d	1722.8 d	1798.1 d	1874.4 d	1873.8 d	2091.6 d	2100.6 	2115.8 	2194.9 	2149.6 p
A,GOV,RSE,T,FTE,HU	5641 	5004 d	5009 d	5081 d	5564 d	4963 d	5020 d	5039 d	4933 d	4887 d	4717 d	4204 d	3833 d	3769 d	3833 d	3529 d	3925 d	3911 d	4289 d	4550 d	4653 	4657 d	4622 d	4741 d	4693 b	4959 	5226 	4572 	4720 	4928 	5027 	5271 	4674 	4782 	4776 	4680 	4965 	4867 	6592 b	6495 	6848 	6717 	6302 	6006 	5642 p
A,GOV,RSE,T,FTE,IE	: 	639 	681 	666 	633 	618 	604.6 	551 	497 	443 e	395 e	353 e	251 b	261 	291 	283 	314 	302 	310 	300 	737 	505 b	587 	553 	559 	419 	485 	523 	537 	520 	562 	547 	495 	437 	461 	494 	503.8 	580 	652 	635 	641 	698 	857 	839 	880 p
A,GOV,RSE,T,FTE,IS	: 	173.7 	: 	200.4 	: 	198.5 	: 	225.1 	: 	297 	292.9 	289.6 	285.8 	320.3 	329.9 	323.9 	350 	389.7 	401.4 e	421.5 	: 	424.1 	: 	467 	: 	501.3 	528.2 	459.1 	479.8 	546.7 	: 	411 b	: 	180.8 b	: 	: 	: 	148 	145 	: 	: 	130 	126 u	102 	115 d
A,GOV,RSE,T,FTE,IT	: 	7849 	9314 	9737 	10917 	11348 	11548 	12535 	13942 	13981 	14501 	12654 	13117 	13298 	13587 	13916 	13637 	13685 	13615 	13697 	14315 	13006 	13565 	13976 	14237 	14454 	16590.2 	17291.1 	15554.5 	16677.7 	17495.7 	18779.7 	20499.2 	21312.9 	21044.6 	21591.9 	21710.8 	22117.5 	22693.7 	23276.3 	23429.3 	24508 	25710 	27672 	27725 p
A,GOV,RSE,T,FTE,JP	28792 d	29011 d	28831 d	28761 d	28818 d	28890 d	28909 d	28909 d	29288 d	29322 d	29516 d	29603 d	29894 d	29907 d	30263 d	30346 d	30241 d	30212 d	30910 d	30987 d	31228 d	33750 d	33891 d	33711 d	33894 d	34035 d	33593 d	32705 d	32050 d	32715 d	32422 d	32164 d	31567 d	30904 d	30373 d	30242 d	30238 d	30610 d	30585 d	30532 d	30152 d	30436 d	30146 d	30015 d	: 
A,GOV,RSE,T,FTE,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12711 d	12322 d	12323 d	10098 d	11745 d	11564 d	12040 d	11356 d	11974 d	12166 	12791.1 d	14053.8 d	15858.5 b	15552.4 	18216.7 	19753.4 	21202.8 	22203.9 	23291.7 	24750.5 	26430.7 	27169.7 	27185 	27364.1 	28686.4 	27891.3 	27989.1 	28465.9 	29299.1 	: 
A,GOV,RSE,T,FTE,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2915 	3004 	2949 	2838 	2557 	2432 	1871 	1686 	1676 	1805 	1651 	1653 	1643 	1733 	1467 	1376 	1372 	1395 	1400 	1449 	1576.6 	1612.6 	1584.3 	1536 	1543 	1691 	1699.7 	1865.1 d	1645.1 d
A,GOV,RSE,T,FTE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	224.6 	278.2 	284.9 	324.9 	342 	374 	435.2 	502.6 	552.7 	597 	662.2 	746.5 	732.4 	733.3 	707.7 	616.7 	601.2 	612.3 	643.7 	661.5 	709.4 	709.8 	754.8 	763.7 	770.6 p
A,GOV,RSE,T,FTE,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1589 	1344 	1349 	1302 	1031 	821 	752 	662 	571 	549 	517 	490 	589 	598 	744 	851 	708 	635 	686 	703 	707 	681 	691 	626 	571 	572 	566 	619 	646 	584 	543 	564 
A,GOV,RSE,T,FTE,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	108.6 	: 	97.3 	96.6 	93.7 	72.5 	99.9 	102.6 	177 	: 	37.3 p	30.1 p	33.8 p	41.5 p
A,GOV,RSE,T,FTE,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	457 	462 	446 	440 	384 	418.5 	230 	388.7 	343.7 	353.5 	187.9 	219.5 	188.8 	184.9 	176.9 	171.4 	: 	173 	253 	: 
A,GOV,RSE,T,FTE,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22 	9 	19.3 	18 	27 	15 	30 	31.3 	22.7 	23.7 	27 	17 	17.7 	20 	16.3 	14.7 	16 	10.3 	23 	27 	33 	41 	22 
A,GOV,RSE,T,FTE,NL	: 	4541 	: 	5020 e	: 	5670 	: 	6050 e	: 	6750 	: 	: 	: 	7260 	7650 b	7830 	7831 	7817 	7996 	6829 	5952 b	6799 	6790 	7672 bd	7752 d	7028 d	7131 d	6977 d	7000 d	6820 d	6959 d	6761.3 d	8580.7 bd	5560 bd	5413 d	5538 d	5668 d	5563 d	5845 d	6083 d	6285 d	6205 d	5841 bd	6220 d	5799 dp
A,GOV,RSE,T,FTE,NO	: 	1386 u	: 	1527 u	: 	1553 u	: 	1865 u	: 	2423 b	: 	2582 u	: 	2885 u	: 	3015 u	: 	3051 u	: 	3037 u	: 	3082 u	: 	3258 u	3300 u	3449 u	3530 u	3878 b	3930 u	4450 u	4479 	4601 	4654 	4705 	4627 	4735 	4788 	4752 	4607 	4522 	4556 	4614 	4634 	4691 	4358 
A,GOV,RSE,T,FTE,PL	10700 	14600 	10300 	12500 	12600 	11100 	10000 	9700 	8600 	4600 	: 	7100 	7120 	: 	10751 	11244 	10954 	11717 	11570 	10811 	11100 	10637 	14688 	13233 	12804 	12174.5 	12437.8 	12812.7 	12916.7 	13193.3 	13552.6 	13823.9 	13582.6 	13571.1 	13846.9 	13617.8 	2368.9 	3392.3 	3110.1 	2219.8 	3177.8 	3546.8 	3283.5 	3246.1 	3333 p
A,GOV,RSE,T,FTE,PT	: 	: 	1759.8 b	1730.5 e	1701.2 u	1789.2 e	1877.1 u	1918.6 e	1960 u	2027.4 e	2094.8 u	2042.8 e	1990.7 u	2110.8 e	2238.2 e	2740.7 u	2835.1 e	2929.5 u	3187.2 e	3444.9 	3545.6 e	3646.4 	3543 e	3439.6 	3388.6 e	3337.6 	3248.1 e	3158.7 	3202.8 	2764.7 	2440 	2531.4 	1682.2 	1386.4 b	1447.5 	1351.2 	1340 	1477.4 	1558 	1599.8 	1651.5 	1801 	1788.2 	1821.7 	1945.2 p
A,GOV,RSE,T,FTE,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9828 	8690 	8431 	7496 	6356 	6592 	5703 	5244 	5599 	5934 	6043 	6326 	7082 	5585 	5818 	6169 	5744 	5590 	5846 b	6372 	6583 	6409 	6659 	6755 	6526 	6597 	6801 	6781 	6508 	6622 	6804 	6513 p
A,GOV,RSE,T,FTE,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2675.5 	2718.5 	2634.7 	2868.6 	3039.9 	3097.3 	2874 	3048.9 	2987.3 	2992.9 	3061.1 	3224.9 	3331.9 	3394 	3416 	3726 	3864 
A,GOV,RSE,T,FTE,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	156934 	157784 	151777 	152161 	147332 	143519 	142191 	144716 	145646 	146370 	147896 	154827 	153629 	153059 	145988 	146211 	145056 	141572 	149593 	144776 	144700 	146840 	: 	139479 	144548 	124183 	: 	: 	: 	: 	: 
A,GOV,RSE,T,FTE,SE	: 	1438 d	: 	1484 d	: 	1448 d	: 	1508 d	: 	1545 de	: 	1714 de	: 	2307 be	: 	2738 u	: 	2439 u	: 	2423 u	: 	2260 u	: 	2287 u	2345 u	2929 be	3041 e	1941 bde	1770 e	1483 e	1892 e	2097 be	2002 e	2386 be	2304 e	3322 e	3362 e	3788 	3700 	3914 	3980 	4175.4 b	4394 	4516 	4892.5 
A,GOV,RSE,T,FTE,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1477 e	1604 	1607 	1581 	1400 	1500 	1510 	1495 	1452 	1493 	1044 	1124 	1591 	1804 	1998 	2156 	2171 	2036 	1817 b	1850 	1825 	1744 	1629 	1667 	1502 	1660.7 	1777.9 	1806.3 	1894.9 	2129 	2246 	2359 
A,GOV,RSE,T,FTE,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3903 d	3654 d	3851 d	2468 bd	2557 d	2428 d	2526 	2438 d	2380 d	2436 d	2345.3 d	2502.9 d	2493.5 d	2889.8 d	2851.3 d	2762.8 d	2998.6 d	2891.7 d	2966.7 d	2634.8 d	3122.9 d	3084.1 	3086.6 	3078.1 	3088.4 	3090 	3130 	3196.7 	3265 	3282 	3323.3 
A,GOV,RSE,T,FTE,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1637 	1900 	1988 	1774 	1756 	1859 	2349 	2245 	2065 	2197 	2479 	2512 	2754 	3646 	3762.2 	4249.2 	4709.1 	4832 	4873.7 	5702.6 	6086.6 	6060 	6287.6 	6293.8 	6541.3 	6555 	6700 	6672 	6701 	5754 	5986 	6268 	6323 	6089 	: 
A,GOV,RSE,T,FTE,UK	: 	20000 b	20000 	20000 	19000 	19000 	15000 b	15000 	15019 	15000 	15061 	15027 b	15064 b	14037 b	14032 	13673 	13021 	12496.2 	14368 	14979.9 	15003 	9998.1 b	9241.7 	9445.3 	9204.5 	9310.6 	8936.1 	8504 	8694.6 	8701.2 	8619.9 	7570.6 	7729.3 	7640.7 	7769.1 	7057.3 	7046.7 	7015.1 	6869.4 	6885 p	: 	: 	: 	: 	: 
A,GOV,RSE,T,FTE,US	58600 d	59200 d	60000 d	61300 d	62100 d	52100 bd	: 	54300 d	54200 d	58800 d	59400 d	58300 d	61800 d	60000 d	: 	53900 d	52100 d	49800 d	48202 d	47371 d	47522 d	48187 d	47822 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57477 	61893 	87598 	: 	: 
